priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,division,consolidation,decided_at_level,counterpart_fund,basis
44,komae-kan-minsei,132195,一般会計,,,3,,eq,,assigned,10,retained,款,,狛江市 款3 民生費。COFOG 10 社会保護
45,komae-kan-eisei,132195,一般会計,,,4,,eq,,unclassifiable,,retained,款,,狛江市 款4 衛生費。三鷹市では項へ下げて保健衛生費（07 保健）と清掃費（05 廃棄物管理）に分かれた。狛江市の原典には項の名称が無く、款だけでは決まらない。捨てずに分類不能として残す
46,komae-kan-rodo,132195,一般会計,,,5,,eq,,assigned,04,retained,款,,狛江市 款5 労働費。COFOG 04.1.2 一般労働業務
47,komae-kan-norin,132195,一般会計,,,6,,eq,,assigned,04,retained,款,,狛江市 款6 農林水産業費。COFOG 04.2 農林水産業
48,komae-kan-shoko,132195,一般会計,,,7,,eq,,assigned,04,retained,款,,狛江市 款7 商工費。COFOG 04.7 その他の産業
49,komae-kan-doboku,132195,一般会計,,,8,,eq,,unclassifiable,,retained,款,,狛江市 款8 土木費。三鷹市では項へ下げて道路橋梁費（04）・河川費（05）・都市計画費（06 と 04 と 08 に分岐）・住宅費（06）に分かれた。狛江市の原典には項の名称が無く、款だけでは決まらない
50,komae-kan-shobo,132195,一般会計,,,9,,eq,,assigned,03,retained,款,,狛江市 款9 消防費。COFOG 03.2 消防サービス
51,komae-kan-kyoiku,132195,一般会計,,,10,,eq,,unclassifiable,,retained,款,,狛江市 款10 教育費。三鷹市では項へ下げて学校教育（09）・スポーツ推進（08）に、さらに目へ下げて図書館（08）と社会教育（09）に分かれた。狛江市の原典には項・目の名称が無く、款だけでは決まらない
52,komae-kan-kosai,132195,一般会計,,,11,,eq,,unclassifiable,,retained,款,,狛江市 款11 公債費。三鷹市では目へ下げて元金償還（COFOG の対象外）と利子（01.7 公債取引）に分かれた。狛江市の原典には目の名称が無く、款だけでは決まらない。**対象外にはしない** — 分類できないことと対象でないことは別の問いで、畳むと適格母集団が壊れる
53,komae-kan-shoshishutsu,132195,一般会計,,,12,,eq,,unclassifiable,,retained,款,,狛江市 款12 諸支出金。基金への積立は節の規則（fund-accumulation）が先に当たって対象外になる。それ以外は目の名称が無く決まらない
54,komae-kan-yobi,132195,一般会計,,,13,,eq,,unclassifiable,,retained,款,,狛江市 款13 予備費。COFOG の対象だが、執行されるまで機能が決まらないため割り当ての根拠が無い（三鷹市の contingency と同じ理由）
