団体コード,"都道府県名
 （漢字）","市区町村名
 （漢字）","都道府県名
 （カナ）","市区町村名
 （カナ）",自治体のトップページ,会議録のトップページ, 自治体数,公開自治体数,公開自治体率
12238,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,http://www.city.nemuro.hokkaido.jp/dcitynd.nsf,http://www.kaigiroku.net/kensaku/nemuro/nemuro.html,,,
12246,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,http://www.city.chitose.hokkaido.jp/,http://www.kaigiroku.net/kensaku/chitose/chitose.html,,,
12254,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,http://www.city.takikawa.hokkaido.jp/,http://www.city.takikawa.hokkaido.jp/270gikai/01gikai/02kaigiroku/,,,
12262,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,http://www.city.sunagawa.hokkaido.jp/,https://www.city.sunagawa.hokkaido.jp/shisei/shigikai/kaigiroku/,,,
12271,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,http://www.city.utashinai.hokkaido.jp/,http://www.city.utashinai.hokkaido.jp/hotnews/detail/00000479.html,,,
12289,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,https://www.city.fukagawa.lg.jp/,http://www.city.fukagawa.lg.jp/gijiroku/,,,
12297,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,http://www.city.furano.hokkaido.jp/,http://www.city.furano.hokkaido.jp/shigikai/bunya/teirei_kaigiroku/,,,
12301,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,http://www.city.noboribetsu.lg.jp/,http://www.city.noboribetsu.lg.jp/docs/2013031300443/,,,
12319,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,http://www.city.eniwa.hokkaido.jp/www/toppage/0000000000000/APM03000.html,http://www.kaigiroku.net/kensaku/eniwa/eniwa.html,,,
12335,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,http://www.city.date.hokkaido.jp/,http://www.kaigiroku.net/kensaku/date/date.html,,,
12343,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,http://www.city.kitahiroshima.hokkaido.jp/,http://www.kaigiroku.net/kensaku/kitahiroshima/kitahiroshima.html,,,
12351,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,http://www.city.ishikari.hokkaido.jp/,http://www.city.ishikari.hokkaido.jp/soshiki/gikai/3125.html,,,
12360,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,http://www.city.hokuto.hokkaido.jp/index.php,http://www.kaigiroku.net/kensaku/hokuto/hokuto.html,,,
13030,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,http://www.town.tobetsu.hokkaido.jp/,https://www.town.tobetsu.hokkaido.jp/site/gikai/,,,
13048,北海道,新篠津村,ﾎｯｶｲﾄﾞｳ,ｼﾝｼﾉﾂﾑﾗ,http://www.vill.shinshinotsu.hokkaido.jp/,http://www.vill.shinshinotsu.hokkaido.jp/hotnews/detail/00000304.html,,,
13315,北海道,松前町,ﾎｯｶｲﾄﾞｳ,ﾏﾂﾏｴﾁｮｳ,http://www.e-matsumae.com/,http://www.town.masaki.ehime.jp/site/gikai/,,,
13323,北海道,福島町,ﾎｯｶｲﾄﾞｳ,ﾌｸｼﾏﾁｮｳ,http://www.town.fukushima.hokkaido.jp/,http://www.gikai-fukushima-hokkaido.jp/gikai-kaigiroku.html,,,
13331,北海道,知内町,ﾎｯｶｲﾄﾞｳ,ｼﾘｳﾁﾁｮｳ,http://www.town.shiriuchi.hokkaido.jp/,https://www.town.shiriuchi.hokkaido.jp/hotnews/detail/00000492.html,,,
13340,北海道,木古内町,ﾎｯｶｲﾄﾞｳ,ｷｺﾅｲﾁｮｳ,http://www.town.kikonai.hokkaido.jp/,http://www.town.kikonai.hokkaido.jp/kikonaityougikai/kaigiroku.htm,,,
13374,北海道,七飯町,ﾎｯｶｲﾄﾞｳ,ﾅﾅｴﾁｮｳ,http://www.town.nanae.hokkaido.jp/,http://www.town.nanae.hokkaido.jp/hotnews/detail/00000530.html,,,
13439,北海道,鹿部町,ﾎｯｶｲﾄﾞｳ,ｼｶﾍﾞﾁｮｳ,http://www.town.shikabe.lg.jp/,http://www.town.shikabe.lg.jp/hotnews/detail/00001178.html,,,
13455,北海道,森町,ﾎｯｶｲﾄﾞｳ,ﾓﾘﾏﾁ,http://www.town.hokkaido-mori.lg.jp/,http://www.town.hokkaido-mori.lg.jp/bunya/kaigiroku/,,,
13463,北海道,八雲町,ﾎｯｶｲﾄﾞｳ,ﾔｸﾓﾁｮｳ,http://www.town.yakumo.lg.jp/,http://www.town.yakumo.lg.jp/search.php?action=showall&query=%B2%F1%B5%C4%CF%BF&mid=27&andor=AND,,,
13471,北海道,長万部町,ﾎｯｶｲﾄﾞｳ,ｵｼｬﾏﾝﾍﾞﾁｮｳ,http://www.town.oshamambe.lg.jp/index.php,http://www.town.oshamambe.lg.jp/modules/assembly/content0058.html,,,
13617,北海道,江差町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,http://www.hokkaido-esashi.jp/,http://www.hokkaido-esashi.jp/gikai/h24-honkaigi/honkaigi.html,,,
13625,北海道,上ノ国町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾉｸﾆﾁｮｳ,http://www.town.kaminokuni.lg.jp/,http://www.town.kaminokuni.lg.jp/hotnews/detail/00000350.html,,,
13633,北海道,厚沢部町,ﾎｯｶｲﾄﾞｳ,ｱｯｻﾌﾞﾁｮｳ,http://www.town.assabu.lg.jp/index.php,http://www.town.assabu.lg.jp/modules/gyosei/content0028.html,,,
13641,北海道,乙部町,ﾎｯｶｲﾄﾞｳ,ｵﾄﾍﾞﾁｮｳ,http://www.town.otobe.lg.jp/,http://www.town.otobe.lg.jp/e0taal00000000qw.html,,,
13676,北海道,奥尻町,ﾎｯｶｲﾄﾞｳ,ｵｸｼﾘﾁｮｳ,http://www.town.okushiri.lg.jp/,http://www.town.okushiri.lg.jp/gikai/,,,
13706,北海道,今金町,ﾎｯｶｲﾄﾞｳ,ｲﾏｶﾈﾁｮｳ,http://www.town.imakane.lg.jp/,http://www.town.imakane.lg.jp/ass/kaigiroku/,,,
13714,北海道,せたな町,ﾎｯｶｲﾄﾞｳ,ｾﾀﾅﾁｮｳ,http://www.town.setana.lg.jp/,http://www.town.setana.lg.jp/gikai/kaigiroku/,,,
13919,北海道,島牧村,ﾎｯｶｲﾄﾞｳ,ｼﾏﾏｷﾑﾗ,http://www.vill.shimamaki.lg.jp/,http://www.vill.shimamaki.lg.jp/gyosei/gikai/2/kariba_152,,,
13927,北海道,寿都町,ﾎｯｶｲﾄﾞｳ,ｽｯﾂﾁｮｳ,http://www.town.suttu.lg.jp/,http://www.town.suttu.lg.jp/gikai/nittei.htm,,,
13935,北海道,黒松内町,ﾎｯｶｲﾄﾞｳ,ｸﾛﾏﾂﾅｲﾁｮｳ,http://www.kuromatsunai.com/,http://www.kuromatsunai.com/town/gikai/gikaikekka/file001.html,,,
13943,北海道,蘭越町,ﾎｯｶｲﾄﾞｳ,ﾗﾝｺｼﾁｮｳ,http://www.town.rankoshi.hokkaido.jp/,http://www.town.rankoshi.hokkaido.jp/gikai_gijiroku/list.html,,,
13951,北海道,ニセコ町,ﾎｯｶｲﾄﾞｳ,ﾆｾｺﾁｮｳ,http://www.town.niseko.lg.jp/,http://www.town.niseko.lg.jp/machitsukuri/cyosei/cat201/cat200/,,,
13960,北海道,真狩村,ﾎｯｶｲﾄﾞｳ,ﾏｯｶﾘﾑﾗ,http://www.makkari.info/,http://www.makkari.info/gyosei/gikai/kekka/,,,
13978,北海道,留寿都村,ﾎｯｶｲﾄﾞｳ,ﾙｽﾂﾑﾗ,http://www.vill.rusutsu.lg.jp/,http://www.vill.rusutsu.lg.jp/hotnews/detail/00000287.html,,,
13986,北海道,喜茂別町,ﾎｯｶｲﾄﾞｳ,ｷﾓﾍﾞﾂﾁｮｳ,http://www.town.kimobetsu.hokkaido.jp/,http://www.town.kimobetsu.hokkaido.jp/soshiki_shigoto/gikaijimukyoku/dayori/index.html,,,
13994,北海道,京極町,ﾎｯｶｲﾄﾞｳ,ｷｮｳｺﾞｸﾁｮｳ,http://www.town-kyogoku.jp/,http://www.town-kyogoku.jp/gikai/dayori/,,,
14001,北海道,倶知安町,ﾎｯｶｲﾄﾞｳ,ｸｯﾁｬﾝﾁｮｳ,http://www.town.kutchan.hokkaido.jp/,http://www.kaigiroku.net/kensaku/kutchan/kutchan.html,,,
14010,北海道,共和町,ﾎｯｶｲﾄﾞｳ,ｷｮｳﾜﾁｮｳ,http://www.town.kyowa.hokkaido.jp/,,,,
14028,北海道,岩内町,ﾎｯｶｲﾄﾞｳ,ｲﾜﾅｲﾁｮｳ,http://www.town.iwanai.hokkaido.jp/,,,,
14036,北海道,泊村,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾘﾑﾗ,http://www.vill.tomari.hokkaido.jp/main.html,,,,
14044,北海道,神恵内村,ﾎｯｶｲﾄﾞｳ,ｶﾓｴﾅｲﾑﾗ,http://www.vill.kamoenai.hokkaido.jp/,,,,
14052,北海道,積丹町,ﾎｯｶｲﾄﾞｳ,ｼｬｺﾀﾝﾁｮｳ,http://www.town.shakotan.hokkaido.jp/,http://town-shakotan.com/modules/pico/content0454.html,,,
14061,北海道,古平町,ﾎｯｶｲﾄﾞｳ,ﾌﾙﾋﾞﾗﾁｮｳ,http://www.town.furubira.lg.jp/,http://www.town.furubira.lg.jp/category/index.php?category_id=2&page_id=43,,,
14079,北海道,仁木町,ﾎｯｶｲﾄﾞｳ,ﾆｷﾁｮｳ,http://www.town.niki.hokkaido.jp/,http://www.town.niki.hokkaido.jp/gikai-home/proceedings06/proceedings.html,,,
14087,北海道,余市町,ﾎｯｶｲﾄﾞｳ,ﾖｲﾁﾁｮｳ,http://www.town.yoichi.hokkaido.jp/,http://www.town.yoichi.hokkaido.jp/gikai/kaigiroku.html,,,
14095,北海道,赤井川村,ﾎｯｶｲﾄﾞｳ,ｱｶｲｶﾞﾜﾑﾗ,http://www.akaigawa.com/,,,,
14231,北海道,南幌町,ﾎｯｶｲﾄﾞｳ,ﾅﾝﾎﾟﾛﾁｮｳ,http://www.town.nanporo.hokkaido.jp/,http://www.town.nanporo.hokkaido.jp/gikai/kaigi/kaigiroku-nenbetu/,,,
14249,北海道,奈井江町,ﾎｯｶｲﾄﾞｳ,ﾅｲｴﾁｮｳ,http://www.town.naie.hokkaido.jp/,http://www.town.naie.hokkaido.jp/gikai/g_kaigiroku/,,,
14257,北海道,上砂川町,ﾎｯｶｲﾄﾞｳ,ｶﾐｽﾅｶﾞﾜﾁｮｳ,http://town.kamisunagawa.hokkaido.jp/,http://town.kamisunagawa.hokkaido.jp/gikai/kaigiroku.html,,,
14273,北海道,由仁町,ﾎｯｶｲﾄﾞｳ,ﾕﾆﾁｮｳ,http://www.town.yuni.lg.jp/,http://www.town.yuni.lg.jp/01020101somu_syomu01.html,,,
14281,北海道,長沼町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾞﾇﾏﾁｮｳ,http://www.maoi-net.jp/,http://www.maoi-net.jp/gyosei/gikai/gikai-kekka.htm,,,
14290,北海道,栗山町,ﾎｯｶｲﾄﾞｳ,ｸﾘﾔﾏﾁｮｳ,http://www.town.kuriyama.hokkaido.jp/,http://town.kuriyama.hokkaido.jp/gikai/minutes/index.html,,,
14303,北海道,月形町,ﾎｯｶｲﾄﾞｳ,ﾂｷｶﾞﾀﾁｮｳ,http://www.town.tsukigata.hokkaido.jp/,http://www.town.tsukigata.hokkaido.jp/3389.htm,,,
14311,北海道,浦臼町,ﾎｯｶｲﾄﾞｳ,ｳﾗｳｽﾁｮｳ,http://www.town.urausu.hokkaido.jp/,http://www.town.urausu.hokkaido.jp/soshiki/gikai/ugoki2.html,,,
14320,北海道,新十津川町,ﾎｯｶｲﾄﾞｳ,ｼﾝﾄﾂｶﾜﾁｮｳ,http://www.town.shintotsukawa.lg.jp/,http://www.town.shintotsukawa.lg.jp/hotnews/detail/00001787.html,,,
14338,北海道,妹背牛町,ﾎｯｶｲﾄﾞｳ,ﾓｾｳｼﾁｮｳ,http://www.town.moseushi.hokkaido.jp/,http://www.town.moseushi.hokkaido.jp/hotnews/category.html?cid=43,,,
14346,北海道,秩父別町,ﾎｯｶｲﾄﾞｳ,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,http://www.town.chippubetsu.hokkaido.jp/,http://www.town.chippubetsu.hokkaido.jp/index.php?cat2=125&rpos=2,,,
14362,北海道,雨竜町,ﾎｯｶｲﾄﾞｳ,ｳﾘｭｳﾁｮｳ,http://www.town.uryu.hokkaido.jp/,http://www.town.uryu.hokkaido.jp/contents/index.php?cat=151,,,
14371,北海道,北竜町,ﾎｯｶｲﾄﾞｳ,ﾎｸﾘｭｳﾁｮｳ,http://www.town.hokuryu.hokkaido.jp/,http://www.town.hokuryu.hokkaido.jp/index2.php?p=kurashi59,,,
14389,北海道,沼田町,ﾎｯｶｲﾄﾞｳ,ﾇﾏﾀﾁｮｳ,http://www.town.numata.hokkaido.jp/,http://www.town.numata.hokkaido.jp/section/gikai/ujj7s3000000158l.html,,,
14524,北海道,鷹栖町,ﾎｯｶｲﾄﾞｳ,ﾀｶｽﾁｮｳ,http://www.town.takasu.hokkaido.jp/,,,,
14532,北海道,東神楽町,ﾎｯｶｲﾄﾞｳ,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ,http://www.town.higashikagura.lg.jp/,,,,
14541,北海道,当麻町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾏﾁｮｳ,http://www.town.tohma.hokkaido.jp/,,,,
14559,北海道,比布町,ﾎｯｶｲﾄﾞｳ,ﾋﾟｯﾌﾟﾁｮｳ,http://www.town.pippu.hokkaido.jp/,,,,
14567,北海道,愛別町,ﾎｯｶｲﾄﾞｳ,ｱｲﾍﾞﾂﾁｮｳ,http://www.town.aibetsu.hokkaido.jp/,,,,
14575,北海道,上川町,ﾎｯｶｲﾄﾞｳ,ｶﾐｶﾜﾁｮｳ,http://www.town.hokkaido-kamikawa.lg.jp/,,,,
14583,北海道,東川町,ﾎｯｶｲﾄﾞｳ,ﾋｶﾞｼｶﾜﾁｮｳ,https://town.higashikawa.hokkaido.jp/,https://town.higashikawa.hokkaido.jp/administration/town-assembly/,,,
14591,北海道,美瑛町,ﾎｯｶｲﾄﾞｳ,ﾋﾞｴｲﾁｮｳ,https://town.biei.hokkaido.jp/,https://www.town.biei.hokkaido.jp/modules/gikai/index.php?cat_id=14,,,
14605,北海道,上富良野町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾌﾗﾉﾁｮｳ,http://www.town.kamifurano.hokkaido.jp/,http://www.town.kamifurano.hokkaido.jp/index.php?id=114,,,
14613,北海道,中富良野町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾌﾗﾉﾁｮｳ,http://www.town.nakafurano.lg.jp/,,,,
14621,北海道,南富良野町,ﾎｯｶｲﾄﾞｳ,ﾐﾅﾐﾌﾗﾉﾁｮｳ,http://town.minamifurano.hokkaido.jp/,http://town.minamifurano.hokkaido.jp/gikai/%E4%BC%9A%E8%AD%B0%E7%B5%90%E6%9E%9C/,,,
14630,北海道,占冠村,ﾎｯｶｲﾄﾞｳ,ｼﾑｶｯﾌﾟﾑﾗ,http://www.vill.shimukappu.lg.jp/,http://www.vill.shimukappu.lg.jp/shimukappu/section/gikai/nmudtq0000005czm.html,,,
14648,北海道,和寒町,ﾎｯｶｲﾄﾞｳ,ﾜｯｻﾑﾁｮｳ,http://www.town.wassamu.hokkaido.jp/,,,,
14656,北海道,剣淵町,ﾎｯｶｲﾄﾞｳ,ｹﾝﾌﾞﾁﾁｮｳ,http://www.town.kembuchi.hokkaido.jp/,,,,
14681,北海道,下川町,ﾎｯｶｲﾄﾞｳ,ｼﾓｶﾜﾁｮｳ,https://www.town.shimokawa.hokkaido.jp/,https://www.town.shimokawa.hokkaido.jp/section/gikai/,,,
14699,北海道,美深町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾌｶﾁｮｳ,http://www.town.bifuka.hokkaido.jp/,http://www.town.bifuka.hokkaido.jp/cms/section/gikai/i63vp600000024za.html,,,
14702,北海道,音威子府村,ﾎｯｶｲﾄﾞｳ,ｵﾄｲﾈｯﾌﾟﾑﾗ,http://www.vill.otoineppu.hokkaido.jp/,,,,
14711,北海道,中川町,ﾎｯｶｲﾄﾞｳ,ﾅｶｶﾞﾜﾁｮｳ,http://www.town.nakagawa.hokkaido.jp/,,,,
14729,北海道,幌加内町,ﾎｯｶｲﾄﾞｳ,ﾎﾛｶﾅｲﾁｮｳ,http://www.town.horokanai.hokkaido.jp/,http://www.town-horokanai-congress-secretariat.jp/conclusion/%E5%AE%9A%E4%BE%8B%E4%BC%9A%E3%83%BB%E8%87%A8%E6%99%82%E4%BC%9A/,,,
14818,北海道,増毛町,ﾎｯｶｲﾄﾞｳ,ﾏｼｹﾁｮｳ,http://www.town.mashike.hokkaido.jp/,,,,
14826,北海道,小平町,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾗﾁｮｳ,http://www.town.obira.hokkaido.jp/,,,,
14834,北海道,苫前町,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾏｴﾁｮｳ,http://www.town.tomamae.lg.jp/,http://www.town.tomamae.lg.jp/section/gikai/oa5p8500000027cf.html,,,
14842,北海道,羽幌町,ﾎｯｶｲﾄﾞｳ,ﾊﾎﾞﾛﾁｮｳ,http://www.town.haboro.lg.jp/,http://www.town.haboro.lg.jp/gikai-iinkai/gikai/gijiroku/,,,
14851,北海道,初山別村,ﾎｯｶｲﾄﾞｳ,ｼｮｻﾝﾍﾞﾂﾑﾗ,http://www.vill.shosanbetsu.lg.jp/,http://www.vill.shosanbetsu.lg.jp/gyousei/gyousei-top.html,,,
14869,北海道,遠別町,ﾎｯｶｲﾄﾞｳ,ｴﾝﾍﾞﾂﾁｮｳ,http://www.town.embetsu.hokkaido.jp/,,,,
14877,北海道,天塩町,ﾎｯｶｲﾄﾞｳ,ﾃｼｵﾁｮｳ,http://www.teshiotown.hokkaido.jp/,,,,
15113,北海道,猿払村,ﾎｯｶｲﾄﾞｳ,ｻﾙﾌﾂﾑﾗ,http://www.vill.sarufutsu.hokkaido.jp/,http://www.vill.sarufutsu.hokkaido.jp/hotnews/detail/00000383.html,,,
15121,北海道,浜頓別町,ﾎｯｶｲﾄﾞｳ,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ,http://www.town.hamatonbetsu.hokkaido.jp/,,,,
15130,北海道,中頓別町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ,http://www.town.nakatombetsu.hokkaido.jp/,,,,
15148,北海道,枝幸町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,http://www.town.esashi.hokkaido.jp/,,,,
15164,北海道,豊富町,ﾎｯｶｲﾄﾞｳ,ﾄﾖﾄﾐﾁｮｳ,http://www.town.toyotomi.hokkaido.jp/,http://www.town.toyotomi.hokkaido.jp/section/soumuka/lepd6s0000000fo4.html,,,
15172,北海道,礼文町,ﾎｯｶｲﾄﾞｳ,ﾚﾌﾞﾝﾁｮｳ,http://www.town.rebun.hokkaido.jp/,,,,
15181,北海道,利尻町,ﾎｯｶｲﾄﾞｳ,ﾘｼﾘﾁｮｳ,http://www.town.rishiri.hokkaido.jp/,,,,
15199,北海道,利尻富士町,ﾎｯｶｲﾄﾞｳ,ﾘｼﾘﾌｼﾞﾁｮｳ,http://www.town.rishirifuji.hokkaido.jp/rishirifuji/,http://www.town.rishirifuji.hokkaido.jp/rishirifuji/1189.htm,,,
15202,北海道,幌延町,ﾎｯｶｲﾄﾞｳ,ﾎﾛﾉﾍﾞﾁｮｳ,http://www.town.horonobe.hokkaido.jp/,http://www.town.horonobe.hokkaido.jp/www4/section/gikai/le009f0000008a13.html,,,
15431,北海道,美幌町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾎﾛﾁｮｳ,http://www.town.bihoro.hokkaido.jp/,http://www.town.bihoro.hokkaido.jp/docs/2016012900021/,,,
15440,北海道,津別町,ﾎｯｶｲﾄﾞｳ,ﾂﾍﾞﾂﾁｮｳ,http://www.town.tsubetsu.hokkaido.jp/,http://www.town.tsubetsu.hokkaido.jp/40gikai/2011-0224-1626-9.html,,,
15458,北海道,斜里町,ﾎｯｶｲﾄﾞｳ,ｼｬﾘﾁｮｳ,https://www.town.shari.hokkaido.jp/,https://www.town.shari.hokkaido.jp/50gikai/10gikai_kekka/index.html,,,
15466,北海道,清里町,ﾎｯｶｲﾄﾞｳ,ｷﾖｻﾄﾁｮｳ,http://www.town.kiyosato.hokkaido.jp/,http://www.town.kiyosato.hokkaido.jp/soshiki_shigoto/gikai/honkaigi/index.html,,,
15474,北海道,小清水町,ﾎｯｶｲﾄﾞｳ,ｺｼﾐｽﾞﾁｮｳ,http://www.town.koshimizu.hokkaido.jp/,http://www.town.koshimizu.hokkaido.jp/gikai/detail/00000918.html,,,
15491,北海道,訓子府町,ﾎｯｶｲﾄﾞｳ,ｸﾝﾈｯﾌﾟﾁｮｳ,http://www.town.kunneppu.hokkaido.jp/,http://www.town.kunneppu.hokkaido.jp/gikai/kaigiroku.html,,,
15504,北海道,置戸町,ﾎｯｶｲﾄﾞｳ,ｵｹﾄﾁｮｳ,http://www.town.oketo.hokkaido.jp/,http://www.town.oketo.hokkaido.jp/cgsei/gikai/kaigiroku/index.html,,,
15521,北海道,佐呂間町,ﾎｯｶｲﾄﾞｳ,ｻﾛﾏﾁｮｳ,http://www.town.saroma.hokkaido.jp/,,,,
15555,北海道,遠軽町,ﾎｯｶｲﾄﾞｳ,ｴﾝｶﾞﾙﾁｮｳ,http://engaru.jp/,http://engaru.jp/gikai/kekka/kekka.html,,,
15598,北海道,湧別町,ﾎｯｶｲﾄﾞｳ,ﾕｳﾍﾞﾂﾁｮｳ,http://www.town.yubetsu.lg.jp/,http://www.town.yubetsu.lg.jp/30hakkou/gikai/gikai.html,,,
15601,北海道,滝上町,ﾎｯｶｲﾄﾞｳ,ﾀｷﾉｳｴﾁｮｳ,http://town.takinoue.hokkaido.jp/,http://town.takinoue.hokkaido.jp/gikai/,,,
