budget_line_id,jurisdiction_code,jurisdiction_label,fiscal_year,direction,phase_id,phase_label,fund_code,fund_label,fund_source,kan_code,kan_label,kan_source,kou_code,kou_label,kou_source,moku_code,moku_label,moku_source,jikou_code,jikou_label,jikou_source,setsu_code,setsu_label,setsu_source,saisaisetsu_code,saisaisetsu_label,saisaisetsu_source,hierarchy_path,value,currency,source_amount,source_amount_unit,source_row,cofog_division_code,cofog_division_label,cofog_status,cofog_consolidation,cofog_consolidation_scope,cofog_counterpart_ids,cofog_decided_at_level,cofog_basis,cofog_rule_id
132047:2024:expenditure:approved:5422bd13d618645c,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,04,共済費,04共済費,01,地方公務員災害補償基金負担金,01地方公務員災害補償基金負担金,会計01/款01/項01/目01/事項02/節04/細々節01,113000,JPY,113,千円,12,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:1b1974d6021dfbdc,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,08,旅費,08旅費,01,職員普通旅費,01職員普通旅費,会計01/款01/項01/目01/事項02/節08/細々節01,112000,JPY,112,千円,13,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:2819303c62d589fe,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,08,旅費,08旅費,01,職員管外旅費,01職員管外旅費,会計01/款01/項01/目01/事項02/節08/細々節01,622000,JPY,622,千円,14,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:955296b9ae2123d1,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,03,議員研修関係費,03議員研修関係費,07,報償費,07報償費,01,講師謝礼,01講師謝礼,会計01/款01/項01/目01/事項03/節07/細々節01,165000,JPY,165,千円,15,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:6deb7af1cc0ad554,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,04,議会だより関係費,04議会だより関係費,10,需用費,10需用費,01,諸印刷費,01諸印刷費,会計01/款01/項01/目01/事項04/節10/細々節01,4713000,JPY,4713,千円,16,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:d42123b996cd0a3b,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,04,議会だより関係費,04議会だより関係費,11,役務費,11役務費,01,郵便料,01郵便料,会計01/款01/項01/目01/事項04/節11/細々節01,10000,JPY,10,千円,17,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:1abad024b130ec50,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,04,議会だより関係費,04議会だより関係費,12,委託料,12委託料,01,配布委託料,01配布委託料,会計01/款01/項01/目01/事項04/節12/細々節01,4868000,JPY,4868,千円,18,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:acdb9c8d957f9251,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,04,議会だより関係費,04議会だより関係費,12,委託料,12委託料,02,声の議会だより作成委託料,02声の議会だより作成委託料,会計01/款01/項01/目01/事項04/節12/細々節02,141000,JPY,141,千円,19,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:d3a0341452d93e7c,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,05,交際費,05交際費,09,交際費,09交際費,01,議長交際費,01議長交際費,会計01/款01/項01/目01/事項05/節09/細々節01,500000,JPY,500,千円,20,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:bc4af1120a568fa6,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,01,報酬,01報酬,01,時間額職員報酬,01時間額職員報酬,会計01/款01/項01/目01/事項06/節01/細々節01,572000,JPY,572,千円,21,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:24c3283bb2f0afe3,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,07,報償費,07報償費,01,記念品購入費,01記念品購入費,会計01/款01/項01/目01/事項06/節07/細々節01,31000,JPY,31,千円,22,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:bc2014fb16c66a0c,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,07,報償費,07報償費,02,手話通訳者謝礼,02手話通訳者謝礼,会計01/款01/項01/目01/事項06/節07/細々節02,65000,JPY,65,千円,23,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:16fd0414fedcdca7,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,01,新聞雑誌購読料,01新聞雑誌購読料,会計01/款01/項01/目01/事項06/節10/細々節01,647000,JPY,647,千円,24,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:cf617601b9f13675,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,02,事務機器用消耗品費,02事務機器用消耗品費,会計01/款01/項01/目01/事項06/節10/細々節02,332000,JPY,332,千円,25,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:5a6f7bc1a51d7285,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,03,諸消耗品費,03諸消耗品費,会計01/款01/項01/目01/事項06/節10/細々節03,562000,JPY,562,千円,26,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:a3074fe1f7e974bf,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,04,法規追録代,04法規追録代,会計01/款01/項01/目01/事項06/節10/細々節04,991000,JPY,991,千円,27,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:55aaf19168b4eee8,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,01,会議録等原本製本代,01会議録等原本製本代,会計01/款01/項01/目01/事項06/節10/細々節01,41000,JPY,41,千円,28,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:ff870b99f5f9b8cd,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,01,諸修繕料,01諸修繕料,会計01/款01/項01/目01/事項06/節10/細々節01,73000,JPY,73,千円,29,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:7f3be9d9cce083aa,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,01,暖房用燃料費,01暖房用燃料費,会計01/款01/項01/目01/事項06/節10/細々節01,15000,JPY,15,千円,30,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:7707a84ebd3d02c2,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,10,需用費,10需用費,01,諸賄費,01諸賄費,会計01/款01/項01/目01/事項06/節10/細々節01,61000,JPY,61,千円,31,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:e358d4f4fe86c337,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,11,役務費,11役務費,01,郵便料,01郵便料,会計01/款01/項01/目01/事項06/節11/細々節01,52000,JPY,52,千円,32,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:050f4e7ae0735405,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,11,役務費,11役務費,01,洗濯代,01洗濯代,会計01/款01/項01/目01/事項06/節11/細々節01,5000,JPY,5,千円,33,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:67e15d3f49bf118d,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,11,役務費,11役務費,02,口座振替手数料,02口座振替手数料,会計01/款01/項01/目01/事項06/節11/細々節02,15000,JPY,15,千円,34,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:ff50fef286a24618,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,11,役務費,11役務費,03,両替等手数料,03両替等手数料,会計01/款01/項01/目01/事項06/節11/細々節03,3000,JPY,3,千円,35,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:d7c9b6ee653efbd8,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,12,委託料,12委託料,01,機器保守委託料,01機器保守委託料,会計01/款01/項01/目01/事項06/節12/細々節01,2280000,JPY,2280,千円,36,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:c6de456c30239004,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,12,委託料,12委託料,02,録音反訳委託料,02録音反訳委託料,会計01/款01/項01/目01/事項06/節12/細々節02,6020000,JPY,6020,千円,37,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:a41c0269f6c5453d,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,12,委託料,12委託料,03,整理業務委託料,03整理業務委託料,会計01/款01/項01/目01/事項06/節12/細々節03,550000,JPY,550,千円,38,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:bad9cb69c53b947e,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,12,委託料,12委託料,04,議場システム機器改修委託料,04議場システム機器改修委託料,会計01/款01/項01/目01/事項06/節12/細々節04,3740000,JPY,3740,千円,39,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:ac4d0e5af100d274,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,01,電子複写機使用料,01電子複写機使用料,会計01/款01/項01/目01/事項06/節13/細々節01,324000,JPY,324,千円,40,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:1bb7957397f4b660,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,02,有料道路通行料等,02有料道路通行料等,会計01/款01/項01/目01/事項06/節13/細々節02,75000,JPY,75,千円,41,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:ed16987a8768c42e,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,03,データベース使用料,03データベース使用料,会計01/款01/項01/目01/事項06/節13/細々節03,139000,JPY,139,千円,42,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:8d4b508befba00c0,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,04,自動車借上料,04自動車借上料,会計01/款01/項01/目01/事項06/節13/細々節04,20000,JPY,20,千円,43,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:8087985ce389bc86,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,05,システム使用料,05システム使用料,会計01/款01/項01/目01/事項06/節13/細々節05,238000,JPY,238,千円,44,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:4b54b684e877ebe4,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,13,使用料及び賃借料,13使用料及び賃借料,06,情報機器等使用料,06情報機器等使用料,会計01/款01/項01/目01/事項06/節13/細々節06,264000,JPY,264,千円,45,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:bf7fe9a00d05b256,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,17,備品購入費,17備品購入費,01,諸備品購入費,01諸備品購入費,会計01/款01/項01/目01/事項06/節17/細々節01,159000,JPY,159,千円,46,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:878e7a60aa6687cb,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,18,負担金補助及び交付金,18負担金補助及び交付金,01,議長会関係負担金,01議長会関係負担金,会計01/款01/項01/目01/事項06/節18/細々節01,769000,JPY,769,千円,47,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:3cac8626448f4077,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,06,議会及び事務局運営管理費,06議会及び事務局運営管理費,18,負担金補助及び交付金,18負担金補助及び交付金,02,諸負担金,02諸負担金,会計01/款01/項01/目01/事項06/節18/細々節02,111000,JPY,111,千円,48,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:835f47f83d3c137a,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,11,役務費,11役務費,01,回線使用料,01回線使用料,会計01/款01/項01/目01/事項07/節11/細々節01,509000,JPY,509,千円,49,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:104d861d16afe42b,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,12,委託料,12委託料,01,会議録検索システム管理委託料,01会議録検索システム管理委託料,会計01/款01/項01/目01/事項07/節12/細々節01,1498000,JPY,1498,千円,50,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:144009741b7a950c,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,12,委託料,12委託料,02,市議会ホームページ管理委託料,02市議会ホームページ管理委託料,会計01/款01/項01/目01/事項07/節12/細々節02,1837000,JPY,1837,千円,51,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:b73c7b589bc8d26a,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,12,委託料,12委託料,03,市議会インターネット配信委託料,03市議会インターネット配信委託料,会計01/款01/項01/目01/事項07/節12/細々節03,4356000,JPY,4356,千円,52,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:332dc27066d6a8e9,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,13,使用料及び賃借料,13使用料及び賃借料,01,情報機器等使用料,01情報機器等使用料,会計01/款01/項01/目01/事項07/節13/細々節01,10047000,JPY,10047,千円,53,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:3890494c7a5f2a35,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,07,市議会情報化関係費,07市議会情報化関係費,13,使用料及び賃借料,13使用料及び賃借料,02,委員会インターネット中継機器使用料,02委員会インターネット中継機器使用料,会計01/款01/項01/目01/事項07/節13/細々節02,992000,JPY,992,千円,54,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:a33f2c82b9653567,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,08,自動車管理費,08自動車管理費,10,需用費,10需用費,01,自動車用燃料費,01自動車用燃料費,会計01/款01/項01/目01/事項08/節10/細々節01,171000,JPY,171,千円,55,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:64a5f588513a38e5,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,08,自動車管理費,08自動車管理費,11,役務費,11役務費,01,自動車電話料,01自動車電話料,会計01/款01/項01/目01/事項08/節11/細々節01,28000,JPY,28,千円,56,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
