priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,division,consolidation,decided_at_level,counterpart_fund,basis
43,komae-eisei-seiso,132195,一般会計,,清掃費,,,eq,,assigned,05,retained,項,,狛江市 款4 項2 清掃費。COFOG 05.1 廃棄物管理。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
44,komae-doboku-kanri,132195,一般会計,,土木管理費,,,eq,,assigned,04,retained,項,,狛江市 款8 項1 土木管理費。土木の管理部門で COFOG 04.5 運輸の管理。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
45,komae-doboku-doro,132195,一般会計,,道路橋りょう費,,,eq,,assigned,04,retained,項,,狛江市 款8 項2 道路橋りょう費。COFOG 04.5.1 道路交通。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
46,komae-doboku-kasen,132195,一般会計,,河川費,,,eq,,assigned,05,retained,項,,狛江市 款8 項3 河川費。COFOG 05.4 生物多様性・景観の保護（治水・河川管理）。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
47,komae-toshikeikaku-somu,132195,一般会計,,都市計画費,,都市計画総務費,eq,,assigned,06,retained,目,,狛江市 款8 項4 目1 都市計画総務費。COFOG 06.2 地域開発。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
48,komae-toshikeikaku-gairo,132195,一般会計,,都市計画費,,街路事業費,eq,,assigned,04,retained,目,,狛江市 款8 項4 街路事業費。都市計画道路の整備で COFOG 04.5.1 道路交通。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
49,komae-toshikeikaku-kouen,132195,一般会計,,都市計画費,,公園緑地費,eq,,assigned,08,retained,目,,狛江市 款8 項4 公園緑地費。COFOG 08.1 レクリエーション及びスポーツのサービス。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
50,komae-toshikeikaku-gesui,132195,一般会計,,都市計画費,,下水道費,eq,,assigned,05,retained,目,,狛江市 款8 項4 下水道費。COFOG 05.2 排水管理。下水道は 2020年度から公営企業会計へ移行しており、ここは一般会計からの支出。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
51,komae-toshikeikaku-other,132195,一般会計,,都市計画費,,,eq,,assigned,06,retained,項,,狛江市 款8 項4 都市計画費のうち目で決まらないもの（再開発費など）。COFOG 06.2 地域開発。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
52,komae-kyoiku-gakko,132195,一般会計,,教育総務費|小学校費|中学校費|幼児教育費,,,eq,,assigned,09,retained,項,,狛江市 款10 の学校教育。COFOG 09.1〜09.2 就学前・初等・中等教育。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
53,komae-shakaikyoiku-bunka,132195,一般会計,,社会教育費,,図書館費|市民ホール費,eq,,assigned,08,retained,目,,狛江市 款10 項5 のうち図書館・市民ホール。COFOG 08.2 文化サービスが図書館と文化施設を明示的に含むため、教育費の下にあっても 08 に置く（三鷹市の図書館費と同じ扱い）。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
54,komae-shakaikyoiku-other,132195,一般会計,,社会教育費,,,eq,,assigned,09,retained,項,,狛江市 款10 項5 社会教育費のうち文化施設以外（社会教育総務・公民館・市民センター）。COFOG 09.5 水準が定義できない教育。08 文化サービスとの境界は判断である。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
55,komae-hokentaiiku,132195,一般会計,,保健体育費,,,eq,,assigned,08,retained,項,,狛江市 款10 項6 保健体育費。COFOG 08.1 レクリエーション及びスポーツのサービス。款・項・目の名称は原典の CSV に無く、決算書 PDF の事項別明細の見出しから解決した（一般会計 2020〜2023年度のみ）
56,komae-kan-gikai,132195,一般会計,,,1,,eq,,assigned,01,retained,款,,狛江市 款1 議会費。COFOG 01.1 立法機関・行政機関。⚠️ 款コードは法定の款番号と**一致しない**（法定11は災害復旧費。狛江市の11は公債費で以降が詰まる）。この規則は狛江市のコード体系（決算書 PDF の見出しで名称を確認済み）に対して当てており、法定コードとの対応は account_map が持つ
57,komae-kan-somu,132195,一般会計,,,2,,eq,,assigned,01,retained,款,,狛江市 款2 総務費。COFOG 01 一般公共サービス
58,komae-kan-minsei,132195,一般会計,,,3,,eq,,assigned,10,retained,款,,狛江市 款3 民生費。COFOG 10 社会保護
59,komae-kan-eisei,132195,一般会計,,,4,,eq,,unclassifiable,,retained,款,,狛江市 款4 衛生費。項・目の名称は決算書 PDF から解決したので、名称のある一般会計 2020〜2023年度は項・目の規則が先に当たる。ここへ落ちるのは PDF の無い 2018〜2019年度と、項・目の規則で決まらなかった行。捨てずに分類不能として残す
60,komae-kan-rodo,132195,一般会計,,,5,,eq,,assigned,04,retained,款,,狛江市 款5 労働費。COFOG 04.1.2 一般労働業務
61,komae-kan-norin,132195,一般会計,,,6,,eq,,assigned,04,retained,款,,狛江市 款6 農林水産業費。COFOG 04.2 農林水産業
62,komae-kan-shoko,132195,一般会計,,,7,,eq,,assigned,04,retained,款,,狛江市 款7 商工費。COFOG 04.7 その他の産業
63,komae-kan-doboku,132195,一般会計,,,8,,eq,,unclassifiable,,retained,款,,狛江市 款8 土木費。項・目の名称は決算書 PDF から解決したので、名称のある一般会計 2020〜2023年度は項・目の規則が先に当たる。ここへ落ちるのは PDF の無い 2018〜2019年度と、項・目の規則で決まらなかった行。捨てずに分類不能として残す
64,komae-kan-shobo,132195,一般会計,,,9,,eq,,assigned,03,retained,款,,狛江市 款9 消防費。COFOG 03.2 消防サービス
65,komae-kan-kyoiku,132195,一般会計,,,10,,eq,,unclassifiable,,retained,款,,狛江市 款10 教育費。項・目の名称は決算書 PDF から解決したので、名称のある一般会計 2020〜2023年度は項・目の規則が先に当たる。ここへ落ちるのは PDF の無い 2018〜2019年度と、項・目の規則で決まらなかった行。捨てずに分類不能として残す
66,komae-kan-kosai,132195,一般会計,,,11,,eq,,unclassifiable,,retained,款,,狛江市 款11 公債費。項・目の名称は決算書 PDF から解決したので、名称のある一般会計 2020〜2023年度は項・目の規則が先に当たる。ここへ落ちるのは PDF の無い 2018〜2019年度と、項・目の規則で決まらなかった行。捨てずに分類不能として残す
67,komae-kan-shoshishutsu,132195,一般会計,,,12,,eq,,unclassifiable,,retained,款,,狛江市 款12 諸支出金。基金への積立は節の規則（fund-accumulation）が先に当たって対象外になる。それ以外は目の名称が無く決まらない
68,komae-kan-yobi,132195,一般会計,,,13,,eq,,unclassifiable,,retained,款,,狛江市 款13 予備費。COFOG の対象だが、執行されるまで機能が決まらないため割り当ての根拠が無い（三鷹市の contingency と同じ理由）
69,tama-eisei-hoken,132241,一般会計,,保健衛生費,,,eq,,assigned,07,retained,項,,多摩市 款4 項1 保健衛生費。COFOG 07 保健
70,tama-eisei-seiso,132241,一般会計,,清掃費,,,eq,,assigned,05,retained,項,,多摩市 款4 項2 清掃費。COFOG 05.1 廃棄物管理
71,tama-doboku-kanri,132241,一般会計,,土木管理費,,,eq,,assigned,04,retained,項,,多摩市 款8 項1 土木管理費。COFOG 04.5 運輸
72,tama-doboku-doro,132241,一般会計,,道路橋りょう費,,,eq,,assigned,04,retained,項,,多摩市 款8 項2 道路橋りょう費。COFOG 04.5.1 道路交通
73,tama-doboku-jutaku,132241,一般会計,,住宅費,,,eq,,assigned,06,retained,項,,多摩市 款8 項5 住宅費。COFOG 06.1 住宅開発
74,tama-toshikeikaku-kouen,132241,一般会計,,都市計画費,,公園費|緑化推進対策費,eq,,assigned,08,retained,目,,多摩市 款8 項4 のうち公園・緑化。COFOG 08.1 レクリエーション及びスポーツのサービス。三鷹市の緑化公園費と同じ扱い
75,tama-toshikeikaku-other,132241,一般会計,,都市計画費,,,eq,,assigned,06,retained,項,,多摩市 款8 項4 都市計画費のうち目で決まらないもの（都市計画総務費）。COFOG 06.2 地域開発
76,tama-shakaikyoiku-toshokan,132241,一般会計,,社会教育費,,図書館費,eq,,assigned,08,retained,目,,多摩市 款10 項5 のうち図書館。COFOG 08.2 文化サービスが図書館を明示的に含むため教育費の下にあっても 08 に置く（三鷹市・狛江市の図書館費と同じ扱い）
77,tama-shakaikyoiku-other,132241,一般会計,,社会教育費,,,eq,,assigned,09,retained,項,,多摩市 款10 項5 社会教育費のうち図書館以外（社会教育総務・公民館・社会教育施設）。COFOG 09.5 水準が定義できない教育。08 文化サービスとの境界は判断である
78,tama-hokentaiiku-kyushoku,132241,一般会計,,保健体育費,,学校給食費,eq,,assigned,09,retained,目,,多摩市 款10 項6 のうち学校給食。COFOG 09.6 教育に付帯するサービス
79,tama-hokentaiiku-other,132241,一般会計,,保健体育費,,,eq,,assigned,08,retained,項,,多摩市 款10 項6 保健体育費のうち学校給食以外（保健体育総務・体育施設）。COFOG 08.1 レクリエーション及びスポーツのサービス。三鷹市のスポーツ推進費と同じ扱い
80,tama-kyoiku-gakko,132241,一般会計,,教育総務費|小学校費|中学校費|幼稚園費,,,eq,,assigned,09,retained,項,,多摩市 款10 の学校教育。COFOG 09 教育。⚠️ 幼稚園費は 09.1 就学前教育で水準が違うが division は 09 で同じ
81,tama-nogyo,132241,一般会計,,農業費,,,eq,,assigned,04,retained,項,,多摩市 款6 項1 農業費。COFOG 04.2 農業・林業・漁業・狩猟。⚠️ 款の名称が「農林業費」で汎用規則（農林費）に当たらないため項で当てる
82,tama-saigai-bunkyo,132241,一般会計,,文教施設災害復旧費,,,eq,,assigned,09,retained,項,,多摩市 款11 の文教施設の災害復旧。COFOG は機能別なので復旧の対象施設の機能に置く
83,tama-saigai-doboku,132241,一般会計,,公共土木施設災害復旧費,,,eq,,assigned,04,retained,項,,多摩市 款11 の公共土木施設（道路橋りょう）の災害復旧。COFOG 04.5.1 道路交通
84,tama-saigai-kouen,132241,一般会計,,公園施設災害復旧費,,,eq,,assigned,08,retained,項,,多摩市 款11 の公園施設の災害復旧。COFOG 08.1 レクリエーション及びスポーツのサービス
85,tama-saigai-other,132241,一般会計,,その他公共、公用施設災害復旧費,,,eq,,unclassifiable,,retained,項,,多摩市 款11 のその他公共・公用施設の災害復旧。対象施設が特定できないので機能を決められない。捨てずに分類不能として残す
86,tama-shokitte,132241,一般会計,,小切手支払未済償還金,,,eq,,out-of-scope,,retained,項,,多摩市 款13 項2 小切手支払未済償還金。歳計現金の戻入であって支出の機能ではない。三鷹市の償還金及び還付加算金と同じ扱い
