jurisdiction_code,direction,kan_code,kou_name,fiscal_year_from,kind,master_kan_code,master_kou_code,basis
132047,revenue,19,,,map,18,,款名「繰入金」がマスタと一致。歳入は款08（自動車取得税交付金）の分だけコードが法定から1ずれる
132047,revenue,20,,,map,19,,款名「繰越金」がマスタと一致。歳入は款08（自動車取得税交付金）の分だけコードが法定から1ずれる
132047,revenue,21,,,map,20,,款名「諸収入」がマスタと一致。歳入は款08（自動車取得税交付金）の分だけコードが法定から1ずれる
132047,revenue,22,,,map,21,,款名「市債」。マスタの表記は「市(町村)債」。歳入は款08（自動車取得税交付金）の分だけコードが法定から1ずれる
132047,revenue,08,,,historical,,,款名「自動車取得税交付金」。現行の法定様式に無いが団体固有の追加でもない — 2019年に廃止され環境性能割交付金へ移行した旧法定区分。収録が平成28年度からなので残っている
132047,revenue,01,市民税,,map,1,1,マスタの表記は「市町村民税」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,01,市たばこ税,,map,1,4,マスタの表記は「市町村たばこ税」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,16,都負担金,,map,15,1,マスタの表記は「都(道府県)負担金」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,16,都補助金,,map,15,2,マスタの表記は「都(道府県)補助金」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,21,市預金利子,,map,20,2,マスタの表記は「市(町村)預金利子」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,22,市債,,map,21,1,マスタの表記は「市(町村)債」。マスタの「市(町村)」「都(道府県)」は市か町村か（都か道府県か）で読み替える様式の記法。市の読みで同じ項
132047,revenue,02,航空機燃料譲与税,,addition,2,,法定の地方譲与税の項に無いが、様式の歳入の備考が航空機燃料譲与税法第1条の空港関係市町村に項の追加を認めている。その条件付き追加
132047,revenue,10,新型コロナウイルス感染症対策地方税減収補填特別交付金,,addition,9,,現行の法定様式に無い時限の交付金（令和2年度の税制対応）。地方特例交付金の款の下に市が計上した区分
132195,revenue,1,,2020,map,1,,款名「市税」。マスタの表記は「市(町村)税」。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,2,,2020,map,2,,款名「地方譲与税」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,3,,2020,map,3,,款名「利子割交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,4,,2020,map,4,,款名「配当割交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,5,,2020,map,5,,款名「株式等譲渡所得割交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,6,,2020,map,6,,款名「法人事業税交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,7,,2020,map,7,,款名「地方消費税交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,9,,2020,map,8,,款名「環境性能割交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,10,,2020,map,9,,款名「地方特例交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,11,,2020,map,10,,款名「地方交付税」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,12,,2020,map,11,,款名「交通安全対策特別交付金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,13,,2020,map,12,,款名「分担金及び負担金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,14,,2020,map,13,,款名「使用料及び手数料」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,15,,2020,map,14,,款名「国庫支出金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,16,,2020,map,15,,款名「都支出金」。マスタの表記は「都(道府県)支出金」。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,17,,2020,map,16,,款名「財産収入」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,18,,2020,map,17,,款名「寄附金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,19,,2020,map,18,,款名「繰入金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,20,,2020,map,19,,款名「繰越金」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,21,,2020,map,20,,款名「諸収入」がマスタと一致。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,22,,2020,map,21,,款名「市債」。マスタの表記は「市(町村)債」。名称の根拠は 2023年度の歳入事項別明細（決算資料 PDF、テキスト抽出・調定額79/79一致）。⚠️ **2020年度以降に限る** — 2018〜2019年度は歳入の款体系が別（20〜21款構成で款コードの意味が違う）で、名称を確認できる資料も無い。款の意味が2020〜2023で同じことは、款ごとの節名称の集合が全22款で2023と重なることで裏づけた（2026-08-24 実測）
132195,revenue,8,,2020,historical,,,款名「旧法による自動車取得税交付金」（2023年度の歳入事項別明細で確認）。2019年廃止の旧法定区分の経過措置で、現行の法定様式に無い
132195,revenue,1,市民税,2020,map,1,1,マスタの表記は「市町村民税」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,1,市たばこ税,2020,map,1,4,マスタの表記は「市町村たばこ税」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,16,都負担金,2020,map,15,1,マスタの表記は「都(道府県)負担金」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,16,都補助金,2020,map,15,2,マスタの表記は「都(道府県)補助金」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,21,市預金利子,2020,map,20,2,マスタの表記は「市(町村)預金利子」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,22,市債,2020,map,21,1,マスタの表記は「市(町村)債」。マスタの「市(町村)」「都(道府県)」は市か町村かで読み替える様式の記法。市の読みで同じ項
132195,revenue,19,繰入金,2020,addition,18,,法定は繰入金の項を特別会計・基金・財産区に分けるが、狛江市は「繰入金」1項に畳んでいる。どの法定の項と同じとも決められないので追加として登録する
132195,revenue,10,新型コロナウイルス感染症対策地方税減収補てん特別交付金,2020,addition,9,,現行の法定様式に無い時限の交付金（令和2年度の税制対応）。地方特例交付金の款の下に市が計上した区分（表記は「補てん」。三鷹市は「補填」で同種の項を持つ）
132241,revenue,01,,,map,1,,款名「市税」。マスタの表記は「市(町村)税」（市か町村かで読み替える様式の記法）。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,1,,,map,1,,款名「市税」。マスタの表記は「市(町村)税」（市か町村かで読み替える様式の記法）。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,2,,,map,2,,款名「地方譲与税」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,02,,,map,2,,款名「地方譲与税」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,3,,,map,3,,款名「利子割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,03,,,map,3,,款名「利子割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,4,,,map,4,,款名「配当割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,04,,,map,4,,款名「配当割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,05,,,map,5,,款名「株式等譲渡所得割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,5,,,map,5,,款名「株式等譲渡所得割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,6,,,map,6,,款名「法人事業税交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,06,,,map,6,,款名「法人事業税交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,07,,,map,7,,款名「地方消費税交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,7,,,map,7,,款名「地方消費税交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,9,,,map,8,,款名「環境性能割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,09,,,map,8,,款名「環境性能割交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,11,,,map,9,,款名「地方特例交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,12,,,map,10,,款名「地方交付税」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,13,,,map,11,,款名「交通安全対策特別交付金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,14,,,map,12,,款名「分担金及び負担金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,15,,,map,13,,款名「使用料及び手数料」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,16,,,map,14,,款名「国庫支出金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,17,,,map,15,,款名「都支出金」。マスタの表記は「都(道府県)支出金」。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,18,,,map,16,,款名「財産収入」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,19,,,map,17,,款名「寄附金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,20,,,map,18,,款名「繰入金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,21,,,map,19,,款名「繰越金」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,22,,,map,20,,款名「諸収入」がマスタと一致。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
132241,revenue,23,,,map,21,,款名「市債」。マスタの表記は「市(町村)債」。款のコードが法定から2つずれるのは様式の歳入の備考2による読み替えで、ゴルフ場所在市町村と国有提供施設等所在市町村助成交付金の適用市町村に当たるため2款が挿入されている。⚠️ 款コードのゼロ埋めが年度で変わる（R3 は01・R4 は1）ため両表記を登録する
