fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_group,cofog_class,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2025,expenditure,132071:2025:expenditure:approved:014c54908acd7ac7,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:01543f95cf8b130a,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:01635a1638132a83,assigned,04,04.7,"",retained,款,shoko,
2025,expenditure,132071:2025:expenditure:approved:0175a85043d6e24e,out-of-scope,"","","",retained,節,fund-accumulation,
2025,expenditure,132071:2025:expenditure:approved:01786d023f8bde88,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:018093592ba31091,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:01874074ffefc952,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:018b686adc9ff1d1,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:01cb309ce6089cab,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:01dcd2f9ee4c0364,assigned,04,04.7,"",retained,款,shoko,
2025,expenditure,132071:2025:expenditure:approved:020439b8fafef925,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:020e4f96b2921dc5,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:021057a895a13ac3,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:024947c9a13794f9,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:027942c4fa83972a,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:027b8ca93faaec1e,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:027cd4ac0d4012e8,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:028a8e7540340a68,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:028ad328e6f5bf0f,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:028bdadefc0e2b30,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:02b1449b576d65bd,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:02d3bb15a371a99e,assigned,09,09.6,"",retained,目,akishima-hokentaiiku-kyushoku,
2025,expenditure,132071:2025:expenditure:approved:02d4332f76b2584d,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:02e4e7d5da105701,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:03099ab8fac037ed,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:032113ad6c774ae4,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:032380a5c463cf20,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:03356553464ac21e,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:033d6249f2063b82,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:03416b2aaf85a7c2,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:036ea7835156f917,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:03b2ef111d3d1201,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:03d7b1abd4759576,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:03e84923601faabe,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:03ea8f800c8cf104,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:03ecfecf9f2ff04b,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0406e9b789a15870,assigned,01,01.1,"",retained,款,gikai,
2025,expenditure,132071:2025:expenditure:approved:043d871f267f5f89,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:044393afb6b3b76b,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:044661a046fcc935,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:044a8895b2e37aff,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:046ac9d22734ba8d,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:046f9097c3eee0d6,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:0479b527ab1cc08b,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:047b8baf1c37442f,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0487332fc1d028df,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:04a3b083cd3af8eb,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:04a4647fd3c99684,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:04a7676c6f4c68df,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:04bac3bacf9045aa,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:04fd11a9978885b9,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:050468a26af7a20c,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0505de6f0989cc8d,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:05151e300fe42bdf,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:051aad9a2a9f996e,assigned,04,04.1,04.1.2,retained,款,rodo,
2025,expenditure,132071:2025:expenditure:approved:0526834d11f12ce2,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:0527c3e3936c5c23,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:055c8750abca8283,assigned,06,06.1,"",retained,項,akishima-doboku-jutaku,
2025,expenditure,132071:2025:expenditure:approved:057c2f034207fba4,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:058670cfb4f9120d,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:058a98ff6a9b6393,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:0599c4b6a325745c,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:05ac4d86c078beb7,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:05b4a0b66c167bdc,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:05bbfd52bfaf78a2,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:05bd3c859e1e72ba,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:05c3cde929669125,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:05cb9851d4e725f9,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:05e10fccc800e890,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:05e1a760c066c0fb,assigned,08,08.2,"",retained,目,akishima-shakaikyoiku-bunka,
2025,expenditure,132071:2025:expenditure:approved:05e7dfd55f589ec1,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0658b3ad392a2460,assigned,09,09.6,"",retained,目,akishima-hokentaiiku-kyushoku,
2025,expenditure,132071:2025:expenditure:approved:0678b18b04a516a9,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:068d594b3aefc414,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0697989cd74ddeff,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:06b9081873a38db2,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:06cb575cd9a4e97e,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:06d5ed427afd4a51,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:06ee310b9caea332,assigned,06,06.1,"",retained,項,akishima-doboku-jutaku,
2025,expenditure,132071:2025:expenditure:approved:06fd9e38c39e332e,assigned,09,09.6,"",retained,目,akishima-hokentaiiku-kyushoku,
2025,expenditure,132071:2025:expenditure:approved:071c44556d6c681c,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:072d40d202b14818,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0750ffc4ab38c8dc,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:07521d3cc33c2a7b,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0756471ecf5738c9,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0760934b9b849f6a,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:077b12524ada09d6,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0794d32478e4a549,assigned,08,08.1,"",retained,目,akishima-toshikeikaku-kouen,
2025,expenditure,132071:2025:expenditure:approved:07b0742357c83eee,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:07c7f2ec49e6aafb,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:07c92f6635d06088,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:07dce8f70bdad6bd,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:07f6929e0795722e,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0820988636506f2c,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0855ab772fe6eb19,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0858aa3463e40405,assigned,08,08.2,"",retained,目,akishima-shakaikyoiku-bunka,
2025,expenditure,132071:2025:expenditure:approved:0869f0db71c89b26,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:086ac8dd6ab6a510,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:086c254e22365428,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:08708e55c20654a6,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:087b7970811419c3,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0886b434fc857265,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:089fdd0f83c302d1,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:08b40bb35d04ff9b,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:08b723ac27e68e66,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:08c700ed7c729492,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:08c7d45539903bbe,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:08cd9c8f120e9178,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:08ffbc21fc18a028,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:091ec607b9e8ae6a,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:09201761373732f7,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:09253b66fe068c16,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0935bb08754a8443,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:0940f9ccfa8c9997,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:0959d9457c1d54d1,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:096179375e303309,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:09f3cea019a9fba9,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:09f4a9006d83bfa1,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0a0f950ec5e48fd3,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0a2c012a02b494a7,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0a35168a45981dc1,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:0a42775e4d09575c,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:0a4518fa6a40df46,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:0a4d77ca2f5014fb,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0a6be7a8d46d97a6,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0a7b88c02b53e94d,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0a7d942672905aba,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0a91af04c7a1c764,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:0a956a2805e4ad5f,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0aa2872288e7aba2,assigned,04,04.1,04.1.2,retained,款,rodo,
2025,expenditure,132071:2025:expenditure:approved:0ab4122ca433ef0f,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0abb45abc4f95cc0,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:0abbf605f517af40,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:0ac9dfc41f02c337,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:0acf9e309145e928,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0ae26fffd6b80707,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0b0426e4b1e95bd7,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0b14f5347735fdd8,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0b32298d3b07fc78,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0b3e88880d00a178,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0b487a3faf1ad3ef,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0b5b436ce3087937,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:0b66a62ce508ce8d,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0b6bd9d462942ed3,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0b7693408dfdead7,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0b8599b4092a9e61,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0ba8082712f828ba,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0bad428d9689b449,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0bbd14d4de22c468,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:0bc3c398d4449725,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0be2ae3217c4ce85,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:0be974d2da40f81d,assigned,08,08.1,"",retained,目,akishima-toshikeikaku-kouen,
2025,expenditure,132071:2025:expenditure:approved:0beabd443fa8875d,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0bf7c3c9cc450780,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:0bfc3a03dbb2741b,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:0c0cb9f8917499f9,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0c1c2f56d596975e,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0c222455e59df49c,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0c2321a84c92c2b8,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:0c2800c2173e44c6,assigned,01,01.1,"",retained,款,gikai,
2025,expenditure,132071:2025:expenditure:approved:0c3472762e3043ab,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0c3ab12f674ada88,assigned,08,08.2,"",retained,目,akishima-shakaikyoiku-bunka,
2025,expenditure,132071:2025:expenditure:approved:0c4d940b911ee8d3,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0c52b7cbcb14f426,assigned,09,09.1,"",retained,目,akishima-kyoiku-yochien,
2025,expenditure,132071:2025:expenditure:approved:0c79ba09adcbb564,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0c895c42f3ed8381,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0c99334037b2658b,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:0ca209e347b562c7,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0cb26fa46f707233,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0cd69ec347a302aa,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:0cfa1badac0ea8a6,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:0d0b8125891e8338,assigned,08,08.1,"",retained,目,akishima-toshikeikaku-kouen,
2025,expenditure,132071:2025:expenditure:approved:0d43f1cc364cb2e7,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:0d77a20e1a8577e3,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0d8b2aa67c17498c,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0db479c30443e2fe,assigned,09,09.5,"",retained,項,akishima-shakaikyoiku-other,
2025,expenditure,132071:2025:expenditure:approved:0db92dc24440fc5f,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0dd1891cd6e8e579,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:0dd4ddd946a07ab6,assigned,09,09.6,"",retained,目,akishima-hokentaiiku-kyushoku,
2025,expenditure,132071:2025:expenditure:approved:0e03af21d18065fb,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0e064cee93c68de4,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0e0694b0122de7f0,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0e44e1c8ed28158e,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:0e80c6bb3c7f8355,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0e89e0dd825091af,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0e89f093eec9e82f,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:0ea2970148d20b54,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:0ea9f47a78a35d9b,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0eb72f0fb0444b42,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:0ec7f148777e86ce,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0ed59d8480a5bad8,assigned,08,08.2,"",retained,目,akishima-shakaikyoiku-bunka,
2025,expenditure,132071:2025:expenditure:approved:0ef9aff1602cafd5,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0f09311d68b4429f,assigned,04,04.5,04.5.1,retained,項,akishima-doboku-doro,
2025,expenditure,132071:2025:expenditure:approved:0f27584d423f19a4,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0f5f112257a64d05,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:0f6588ca890a37a7,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0f72fdeee3bb6b27,assigned,01,01.1,"",retained,款,gikai,
2025,expenditure,132071:2025:expenditure:approved:0f822f7e02cbe14a,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:0faa82c99045d0ff,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0ff01db06ecbe831,assigned,06,06.1,"",retained,項,akishima-doboku-jutaku,
2025,expenditure,132071:2025:expenditure:approved:101a160c45a11dfb,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:101ad1688c5cebfa,assigned,09,09.6,"",retained,目,akishima-hokentaiiku-kyushoku,
2025,expenditure,132071:2025:expenditure:approved:102a334c1faf577c,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:102addfc59fe8098,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:1038038366d02859,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:10407562f6c38410,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:10509f4fb0567b8e,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:1063bf5c55d9c95f,assigned,08,08.1,"",retained,項,akishima-hokentaiiku-other,
2025,expenditure,132071:2025:expenditure:approved:10650cc173c79012,out-of-scope,"","","",retained,節,fund-accumulation,
2025,expenditure,132071:2025:expenditure:approved:1068de0fb75956ac,assigned,08,08.1,"",retained,目,akishima-toshikeikaku-kouen,
2025,expenditure,132071:2025:expenditure:approved:10768cce2167ddfd,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
2025,expenditure,132071:2025:expenditure:approved:1086c5870a44515b,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:109e844e5803c379,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:10a43329129698f8,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:10c9eb7e6722eae5,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:10d0901792113b92,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:10d1e0a68a8fd379,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:10d642c142d240a8,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:10e2a04e21a318ad,assigned,01,01.1,"",retained,款,gikai,
