budget_line_id,fiscal_year,phase_id,source_row,fund_code,fund_label,kan_code,kan_label,kou_code,kou_label,moku_code,moku_label,setsu_code,setsu_label,saisetsu_code,saisetsu_label,value,source_amount
132071:2025:revenue:approved:016ceb3a1f470140,2025,approved,17,"",一般会計,2,地方譲与税,3,森林環境譲与税,1,森林環境譲与税,1,森林環境譲与税,"",森林環境譲与税(財政課),14000000,14000
132071:2025:revenue:approved:605755934015b208,2025,approved,18,"",一般会計,3,利子割交付金,1,利子割交付金,1,利子割交付金,1,利子割交付金,"",利子割交付金(課税課),62000000,62000
132071:2025:revenue:approved:ec9b833034534bab,2025,approved,19,"",一般会計,4,配当割交付金,1,配当割交付金,1,配当割交付金,1,配当割交付金,"",配当割交付金(課税課),210000000,210000
132071:2025:revenue:approved:d20aaa8aa7b53e19,2025,approved,20,"",一般会計,5,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,1,株式等譲渡所得割交付金,"",株式等譲渡所得割交付金(課税課),240000000,240000
132071:2025:revenue:approved:058786e3cc55a809,2025,approved,21,"",一般会計,6,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,1,法人事業税交付金,"",法人事業税交付金(課税課),590000000,590000
132071:2025:revenue:approved:9be11608fa8b79d1,2025,approved,22,"",一般会計,7,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,1,地方消費税交付金,"",地方消費税交付金(課税課),2930000000,2930000
132071:2025:revenue:approved:1c60970e43c9b137,2025,approved,23,"",一般会計,8,自動車取得税交付金,1,自動車取得税交付金,1,旧法による自動車取得税交付金,1,旧法による自動車取得税交付金,"",旧法による自動車取得税交付金(課税課),1000,1
132071:2025:revenue:approved:7b7dc70f66e43132,2025,approved,24,"",一般会計,9,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,1,環境性能割交付金,"",環境性能割交付金(課税課),65000000,65000
132071:2025:revenue:approved:19013c3d1b147c25,2025,approved,25,"",一般会計,10,国有提供施設等所在市町村助成交付金,1,国有提供施設等所在市町村助成交付金,1,国有提供施設等所在市町村助成交付金,1,国有提供施設等所在市町村助成交付金,"",国有提供施設等所在市町村助成交付金(課税課),14416000,14416
132071:2025:revenue:approved:2ae1850e189272e3,2025,approved,26,"",一般会計,11,地方特例交付金,1,地方特例交付金,1,地方特例交付金,1,地方特例交付金,"",住宅借入金等特別税額控除減収補てん特例交付金(財政課),124000000,124000
132071:2025:revenue:approved:bda6bda652426abe,2025,approved,27,"",一般会計,11,地方特例交付金,1,地方特例交付金,1,地方特例交付金,1,地方特例交付金,"",定額減税減収補てん特例交付金(財政課),3000000,3000
132071:2025:revenue:approved:ce3c1636e59f05c5,2025,approved,28,"",一般会計,11,地方特例交付金,2,新型コロナウイルス感染症対策地方税減収補てん特別交付金,1,新型コロナウイルス感染症対策地方税減収補てん特別交付金,1,新型コロナウイルス感染症対策地方税減収補てん特別交付金,"",固定資産税減収補てん特別交付金(財政課),2000000,2000
132071:2025:revenue:approved:d0558cf1235c351d,2025,approved,29,"",一般会計,12,地方交付税,1,地方交付税,1,地方交付税,1,地方交付税,"",特別交付税(財政課),5000000,5000
132071:2025:revenue:approved:a7e8258d9b9e3fa0,2025,approved,30,"",一般会計,13,交通安全対策特別交付金,1,交通安全対策特別交付金,1,交通安全対策特別交付金,1,交通安全対策特別交付金,"",交通安全対策特別交付金(財政課),16000000,16000
132071:2025:revenue:approved:1a95fe384fc67647,2025,approved,31,"",一般会計,14,分担金及び負担金,1,負担金,1,民生費負担金,1,保育所運営費等負担金,"",保育所運営費負担金現年度分(子ども育成支援課),74371000,74371
132071:2025:revenue:approved:4ad34416e66c5490,2025,approved,32,"",一般会計,14,分担金及び負担金,1,負担金,1,民生費負担金,1,保育所運営費等負担金,"",保育所運営費負担金過年度分(子ども育成支援課),204000,204
132071:2025:revenue:approved:9d1d835ff9cf9c4d,2025,approved,33,"",一般会計,14,分担金及び負担金,1,負担金,1,民生費負担金,2,老人保護措置費負担金,"",老人保護措置費負担金(地域包括ケア担当),10692000,10692
132071:2025:revenue:approved:a6b8402955a5eba8,2025,approved,34,"",一般会計,14,分担金及び負担金,1,負担金,2,衛生費負担金,1,未熟児養育医療費負担金,"",未熟児養育医療費負担金(子ども家庭センター担当),3480000,3480
132071:2025:revenue:approved:ce9dc3e03b4cf325,2025,approved,35,"",一般会計,15,使用料及び手数料,1,使用料,1,総務使用料,1,行政財産使用料,"",行政財産使用料(子ども育成支援課ほか16課),7920000,7920
132071:2025:revenue:approved:8298116c3a3ebc05,2025,approved,36,"",一般会計,15,使用料及び手数料,1,使用料,1,総務使用料,2,自転車等駐車場使用料,"",自転車等駐車場使用料(交通対策課),113487000,113487
132071:2025:revenue:approved:13032946d982eb3e,2025,approved,37,"",一般会計,15,使用料及び手数料,1,使用料,1,総務使用料,3,松原町コミュニティセンター使用料,"",松原町コミュニティセンター使用料(生活コミュニティ課),2480000,2480
132071:2025:revenue:approved:b2d9304a0aa11fac,2025,approved,38,"",一般会計,15,使用料及び手数料,1,使用料,2,民生使用料,1,高齢者福祉センター使用料,"",高齢者福祉センター使用料(地域包括ケア担当),615000,615
132071:2025:revenue:approved:4ba135e2f8d7749d,2025,approved,39,"",一般会計,15,使用料及び手数料,1,使用料,2,民生使用料,2,緑町ことぶき住宅使用料,"",緑町ことぶき住宅使用料(都市計画課),2789000,2789
132071:2025:revenue:approved:6c7cf8ac4cf4e48c,2025,approved,40,"",一般会計,15,使用料及び手数料,1,使用料,2,民生使用料,3,学童クラブ使用料,"",学童クラブ育成料(子ども育成支援課),59742000,59742
132071:2025:revenue:approved:8fe9b2efa5a27a41,2025,approved,41,"",一般会計,15,使用料及び手数料,1,使用料,2,民生使用料,3,学童クラブ使用料,"",学童クラブ延長育成料(子ども育成支援課),1273000,1273
132071:2025:revenue:approved:7d5bc6ccc2735553,2025,approved,42,"",一般会計,15,使用料及び手数料,1,使用料,2,民生使用料,4,保健福祉センター使用料,"",保健福祉センター使用料(健康課),1269000,1269
132071:2025:revenue:approved:d7beadb6fc74688b,2025,approved,43,"",一般会計,15,使用料及び手数料,1,使用料,3,労働使用料,1,勤労商工市民センター使用料,"",勤労商工市民センター使用料(産業活性課),5500000,5500
132071:2025:revenue:approved:cdd359ed80cb7702,2025,approved,44,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,1,道路使用料,"",道路使用料(管理課),87668000,87668
132071:2025:revenue:approved:9bdfc8ccc1c166b4,2025,approved,45,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,2,公園使用料,"",公園(電柱電話柱等)使用料(管理課),21948000,21948
132071:2025:revenue:approved:d4046cb2f90b2513,2025,approved,46,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,3,市営住宅使用料,"",市営住宅使用料(都市計画課),5537000,5537
132071:2025:revenue:approved:bd8ddc6172bc17a3,2025,approved,47,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,4,特定公共物使用料,"",特定公共物使用料(管理課),1743000,1743
132071:2025:revenue:approved:c544c59aff56c394,2025,approved,48,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,5,自由通路使用料,"",中神駅自由通路広告板使用料(管理課),366000,366
132071:2025:revenue:approved:a97e7327d3a35b08,2025,approved,49,"",一般会計,15,使用料及び手数料,1,使用料,4,土木使用料,5,自由通路使用料,"",拝島駅自由通路広告板使用料(管理課),2970000,2970
132071:2025:revenue:approved:bd2c453b17480341,2025,approved,50,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,1,学校施設等使用料,"",学校施設使用料(教育総務課),36000,36
132071:2025:revenue:approved:caa7f90bedb538b2,2025,approved,51,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,1,学校施設等使用料,"",校庭夜間照明設備使用料(スポーツ振興課),487000,487
132071:2025:revenue:approved:2aa91611c06c04e2,2025,approved,52,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,2,スポーツセンター使用料,"",総合スポーツセンター使用料(スポーツ振興課),63200000,63200
132071:2025:revenue:approved:591b9e38ba14c3de,2025,approved,53,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,2,スポーツセンター使用料,"",みほり体育館使用料(スポーツ振興課),2735000,2735
132071:2025:revenue:approved:d47ab9bf9bd5ff8c,2025,approved,54,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,3,体育施設使用料,"",昭和公園運動施設等使用料(スポーツ振興課),26163000,26163
132071:2025:revenue:approved:8e07ecbcb0578059,2025,approved,55,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,4,市民会館使用料,"",市民会館使用料(市民会館・公民館),24321000,24321
132071:2025:revenue:approved:7f51dc5b30c0ee23,2025,approved,56,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,5,公民館使用料,"",公民館使用料(市民会館・公民館),358000,358
132071:2025:revenue:approved:bb81c71e83a0ea80,2025,approved,57,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,6,市民会館・公民館駐車場使用料,"",市民会館・公民館駐車場使用料(市民会館・公民館),2238000,2238
132071:2025:revenue:approved:19836f689c1ee747,2025,approved,58,"",一般会計,15,使用料及び手数料,1,使用料,5,教育使用料,7,アキシマエンシス使用料,"",アキシマエンシス使用料(アキシマエンシス管理課),630000,630
132071:2025:revenue:approved:fffd70bbc2035ea0,2025,approved,59,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,1,戸籍住民基本台帳手数料,"",戸籍関係証明書等交付手数料(市民課),14903000,14903
132071:2025:revenue:approved:a2bebb2252cf5a8e,2025,approved,60,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,1,戸籍住民基本台帳手数料,"",住民票写し等交付及び閲覧手数料(市民課),11832000,11832
132071:2025:revenue:approved:25641c6ddd7fbf1a,2025,approved,61,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,1,戸籍住民基本台帳手数料,"",印鑑登録証明書等交付手数料(市民課),6599000,6599
132071:2025:revenue:approved:8bb66906620342e3,2025,approved,62,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,1,戸籍住民基本台帳手数料,"",その他証明手数料(市民課、生活コミュニティ課),725000,725
132071:2025:revenue:approved:3dd9692cfce0a979,2025,approved,63,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,2,税務手数料,"",税務証明書等交付及び閲覧手数料(課税課、納税課),6150000,6150
132071:2025:revenue:approved:079f36d13fdbcad0,2025,approved,64,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,3,放置自転車撤去・保管手数料,"",放置自転車撤去・保管手数料(交通対策課),440000,440
132071:2025:revenue:approved:add7062f9dfacab8,2025,approved,65,"",一般会計,15,使用料及び手数料,2,手数料,1,総務手数料,4,公文書開示手数料,"",公文書開示手数料(法務担当),4000,4
132071:2025:revenue:approved:2cab6f1047fc4cd1,2025,approved,66,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,1,工場許可申請手数料,"",工場設置・変更認可申請手数料(環境課),79000,79
132071:2025:revenue:approved:f08bbd9094af98cf,2025,approved,67,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",家庭系ごみ処理手数料(清掃センター),238950000,238950
132071:2025:revenue:approved:453145c95bdb29a2,2025,approved,68,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",事業系ごみ搬入処理手数料(清掃センター),170046000,170046
132071:2025:revenue:approved:4c81ae619fe98048,2025,approved,69,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",粗大ごみ処理手数料(清掃センター),14400000,14400
132071:2025:revenue:approved:0c07426b6c290463,2025,approved,70,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",家庭ごみ等搬入処理手数料(ごみ対策課),25570000,25570
132071:2025:revenue:approved:05938c276fe16aef,2025,approved,71,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",へい死犬等処理手数料(ごみ対策課),600000,600
132071:2025:revenue:approved:a5dc6a0347dcfa5c,2025,approved,72,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",し尿処理手数料(下水道課),4010000,4010
132071:2025:revenue:approved:9567ef42b99a1c45,2025,approved,73,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,2,清掃手数料,"",一般廃棄物収集運搬業許可申請手数料(清掃センター),250000,250
132071:2025:revenue:approved:bab2895b89aebfe9,2025,approved,74,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,3,犬登録等手数料,"",犬登録手数料(環境課),228000,228
132071:2025:revenue:approved:b0b45c94ad05fed1,2025,approved,75,"",一般会計,15,使用料及び手数料,2,手数料,2,衛生手数料,3,犬登録等手数料,"",狂犬病予防注射済票交付手数料(環境課),2200000,2200
132071:2025:revenue:approved:b950814f9ce1d339,2025,approved,76,"",一般会計,15,使用料及び手数料,2,手数料,3,土木手数料,1,道路証明手数料,"",道路区域境界等証明手数料(管理課),80000,80
132071:2025:revenue:approved:eb8fbc013da4d02f,2025,approved,77,"",一般会計,15,使用料及び手数料,2,手数料,3,土木手数料,2,都市計画証明手数料,"",都市計画に関する証明手数料(都市計画課),20000,20
132071:2025:revenue:approved:68f3047a7bdb16ab,2025,approved,78,"",一般会計,15,使用料及び手数料,2,手数料,3,土木手数料,3,屋外広告物許可申請手数料,"",屋外広告物許可申請手数料(交通対策課),1660000,1660
132071:2025:revenue:approved:8a29c9be15324f1e,2025,approved,79,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,1,助産施設費負担金,"",助産施設費負担金(男女共同参画・女性活躍支援担当),1150000,1150
132071:2025:revenue:approved:56442ed07dd1d113,2025,approved,80,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,2,母子生活支援施設費負担金,"",母子生活支援施設費負担金(男女共同参画・女性活躍支援担当),6000000,6000
132071:2025:revenue:approved:22e54db6392353c6,2025,approved,81,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,3,生活保護費負担金,"",生活扶助費等負担金(生活福祉課),1571250000,1571250
132071:2025:revenue:approved:8b5be930a794c2ba,2025,approved,82,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,3,生活保護費負担金,"",医療扶助費負担金(生活福祉課),1761375000,1761375
132071:2025:revenue:approved:d4a869fe8464f692,2025,approved,83,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,3,生活保護費負担金,"",介護扶助費負担金(生活福祉課),106125000,106125
132071:2025:revenue:approved:73f49d3fb0029d65,2025,approved,84,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,4,特別障害者手当等給付費負担金,"",特別障害者手当等給付費負担金(障害福祉課),46678000,46678
132071:2025:revenue:approved:c7e7332112fbc6e7,2025,approved,85,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,5,保険基盤安定等負担金,"",国民健康保険基盤安定負担金(保険年金課),86165000,86165
132071:2025:revenue:approved:f8a45d8159f9dbc8,2025,approved,86,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,5,保険基盤安定等負担金,"",未就学児均等割保険税負担金(保険年金課),2900000,2900
132071:2025:revenue:approved:753a25f80d720b0c,2025,approved,87,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,5,保険基盤安定等負担金,"",産前産後保険税負担金(保険年金課),1500000,1500
132071:2025:revenue:approved:260fef018177b9a2,2025,approved,88,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,6,児童扶養手当負担金,"",児童扶養手当負担金(子ども未来課),153880000,153880
132071:2025:revenue:approved:8f1e0a5eb30e47bc,2025,approved,89,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,7,障害者自立支援給付費負担金,"",障害福祉サービス費等負担金(障害福祉課),1271354000,1271354
132071:2025:revenue:approved:c0671a295c47eb24,2025,approved,90,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,7,障害者自立支援給付費負担金,"",補装具費負担金(障害福祉課),18000000,18000
132071:2025:revenue:approved:8c6cdc24f69351ac,2025,approved,91,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,7,障害者自立支援給付費負担金,"",相談支援給付費等負担金(障害福祉課),21259000,21259
132071:2025:revenue:approved:6fc74f160f2b3c69,2025,approved,92,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,8,障害者医療費負担金,"",障害者自立支援医療費負担金(障害福祉課),74928000,74928
132071:2025:revenue:approved:24f89dfcd0fdf04b,2025,approved,93,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,9,中国残留邦人支援給付費負担金,"",中国残留邦人生活支援等給付費負担金(福祉総務課),9135000,9135
132071:2025:revenue:approved:a1a4693fdbd222ad,2025,approved,94,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,9,中国残留邦人支援給付費負担金,"",中国残留邦人医療支援給付費負担金(福祉総務課),12750000,12750
132071:2025:revenue:approved:aacf47eb63cb6c6d,2025,approved,95,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,9,中国残留邦人支援給付費負担金,"",中国残留邦人介護支援給付費負担金(福祉総務課),447000,447
132071:2025:revenue:approved:abe720fbccb8f9c6,2025,approved,96,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,9,中国残留邦人支援給付費負担金,"",中国残留邦人配偶者支援金負担金(福祉総務課),1628000,1628
132071:2025:revenue:approved:27052b45137cec94,2025,approved,97,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,10,児童手当負担金,"",3歳未満児童手当負担金(子ども未来課),443237000,443237
132071:2025:revenue:approved:25eb34a2c727ab54,2025,approved,98,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,10,児童手当負担金,"",中学校修了前児童手当負担金(子ども未来課),1196082000,1196082
132071:2025:revenue:approved:87dab71a451027b5,2025,approved,99,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,10,児童手当負担金,"",高校生児童手当負担金(子ども未来課),246586000,246586
132071:2025:revenue:approved:6de4385e806f0981,2025,approved,100,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,11,障害児入所給付費等負担金,"",障害児通所給付費等負担金(障害福祉課),381300000,381300
132071:2025:revenue:approved:6869de8addc758e0,2025,approved,101,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,11,障害児入所給付費等負担金,"",障害児相談支援給付費等負担金(障害福祉課),11340000,11340
132071:2025:revenue:approved:2f50ee09e954b796,2025,approved,102,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,12,生活困窮者自立相談支援事業等負担金,"",生活困窮者自立相談支援事業等負担金(福祉総務課),36716000,36716
132071:2025:revenue:approved:871d85fd6f27a102,2025,approved,103,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,13,子どものための教育・保育給付費負担金,"",施設型給付費負担金(子ども育成支援課),2105875000,2105875
132071:2025:revenue:approved:0a578d8c001bcf4c,2025,approved,104,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,13,子どものための教育・保育給付費負担金,"",地域型保育給付費負担金(子ども育成支援課),89855000,89855
132071:2025:revenue:approved:8918d6f10a43df5d,2025,approved,105,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,14,介護保険低所得者保険料軽減負担金,"",介護保険低所得者保険料軽減負担金(介護福祉課),53790000,53790
132071:2025:revenue:approved:a48ae9cbc0e143a7,2025,approved,106,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,15,子育て支援施設等利用給付費負担金,"",子育て支援施設等利用給付費負担金(子ども育成支援課),17879000,17879
132071:2025:revenue:approved:61a616a710a702af,2025,approved,107,"",一般会計,16,国庫支出金,1,国庫負担金,1,民生費国庫負担金,16,妊婦のための支援給付負担金,"",妊婦のための支援給付負担金(子ども家庭センター担当),79000000,79000
132071:2025:revenue:approved:3824bd14f56899bc,2025,approved,108,"",一般会計,16,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,1,母子保健事業負担金,"",未熟児養育医療給付費負担金(子ども家庭センター担当),3640000,3640
132071:2025:revenue:approved:94229c23e778d4a0,2025,approved,109,"",一般会計,16,国庫支出金,1,国庫負担金,2,衛生費国庫負担金,2,新型コロナウイルス予防接種健康被害給付費負担金,"",新型コロナウイルス予防接種健康被害給付費負担金(健康課),479000,479
132071:2025:revenue:approved:2af5d9c8ddbbf477,2025,approved,110,"",一般会計,16,国庫支出金,1,国庫負担金,3,教育費国庫負担金,1,子育て支援施設等利用給付費負担金,"",幼稚園利用給付費負担金(子ども育成支援課),115650000,115650
132071:2025:revenue:approved:69d52eae018d48c6,2025,approved,111,"",一般会計,16,国庫支出金,2,国庫補助金,1,総務費国庫補助金,1,個人番号カード交付事務費補助金,"",個人番号カード交付事務費補助金(市民課),56282000,56282
132071:2025:revenue:approved:a60ea77b5a9c7b60,2025,approved,112,"",一般会計,16,国庫支出金,2,国庫補助金,1,総務費国庫補助金,2,社会保障・税番号制度システム整備費補助金,"",社会保障・税番号制度システム整備費補助金(情報システム課、市民課),41574000,41574
132071:2025:revenue:approved:fa890b9be45b18f1,2025,approved,113,"",一般会計,16,国庫支出金,2,国庫補助金,1,総務費国庫補助金,3,新しい地方経済・生活環境創生交付金,"",新しい地方経済・生活環境創生交付金(企画政策課),3192000,3192
132071:2025:revenue:approved:0bf26c382a2ad997,2025,approved,114,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,1,生活困窮者就労準備支援事業等補助金,"",生活保護適正実施推進事業補助金(生活福祉課),23071000,23071
132071:2025:revenue:approved:1c833499d0dfafff,2025,approved,115,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,1,生活困窮者就労準備支援事業等補助金,"",生活困窮者就労準備支援等事業補助金(福祉総務課),35116000,35116
132071:2025:revenue:approved:511a2eb83882e603,2025,approved,116,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,1,生活困窮者就労準備支援事業等補助金,"",中国残留邦人等地域生活支援事業補助金(福祉総務課),1322000,1322
132071:2025:revenue:approved:9b5efc8b89d84a54,2025,approved,117,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,2,児童虐待防止対策等総合支援事業補助金,"",医療的ケア児等総合支援事業補助金(障害福祉課),70000,70
132071:2025:revenue:approved:fefcb192cae28efa,2025,approved,118,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,3,地域生活支援事業補助金,"",地域生活支援事業補助金(障害福祉課),39220000,39220
132071:2025:revenue:approved:a5b64b2a1646273f,2025,approved,119,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,4,母子家庭及び父子家庭自立支援給付事業補助金,"",自立支援教育訓練給付事業補助金(子ども未来課),585000,585
132071:2025:revenue:approved:f243b21da1861e62,2025,approved,120,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,4,母子家庭及び父子家庭自立支援給付事業補助金,"",高等職業訓練促進給付等事業補助金(子ども未来課),9150000,9150
132071:2025:revenue:approved:1045364fcf8e2e85,2025,approved,121,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,5,子ども・子育て支援交付金,"",子ども・子育て支援交付金(子ども未来課),189902000,189902
132071:2025:revenue:approved:c307c5c13fa5045d,2025,approved,122,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,6,保育対策総合支援事業補助金,"",保育対策総合支援事業補助金(子ども育成支援課),29694000,29694
132071:2025:revenue:approved:91ab7875564ffcb7,2025,approved,123,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,7,母子・父子自立支援プログラム策定事業補助金,"",),40000,40
132071:2025:revenue:approved:22b4da246fae4111,2025,approved,124,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,8,子ども・子育て支援体制整備総合推進事業補助金,"",子ども・子育て支援体制整備総合推進事業補助金(子ども育成支援課),193000,193
132071:2025:revenue:approved:12313fa048a3a1be,2025,approved,125,"",一般会計,16,国庫支出金,2,国庫補助金,2,民生費国庫補助金,9,困難女性支援推進等事業補助金,"",女性相談支援員活動強化事業補助金(男女共同参画・女性活躍支援担当),1755000,1755
