priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,cofog_code,consolidation,decided_at_level,counterpart_fund,basis
81,tama-shakaikyoiku-other,132241,一般会計,,社会教育費,,,eq,,assigned,09.5,retained,項,,多摩市 款10 項5 社会教育費のうち図書館以外（社会教育総務・公民館・社会教育施設）。COFOG 09.5 水準が定義できない教育。08 文化サービスとの境界は判断である
82,tama-hokentaiiku-kyushoku,132241,一般会計,,保健体育費,,学校給食費,eq,,assigned,09.6,retained,目,,多摩市 款10 項6 のうち学校給食。COFOG 09.6 教育に付帯するサービス
83,tama-hokentaiiku-other,132241,一般会計,,保健体育費,,,eq,,assigned,08.1,retained,項,,多摩市 款10 項6 保健体育費のうち学校給食以外（保健体育総務・体育施設）。COFOG 08.1 レクリエーション及びスポーツのサービス。三鷹市のスポーツ推進費と同じ扱い
84,tama-kyoiku-gakko,132241,一般会計,,教育総務費,,,eq,,assigned,09.8,retained,項,,多摩市 款10 項1 教育総務費。教育委員会・事務局・教育指導の管理業務で COFOG 09.8 他に分類されない教育
85,tama-kyoiku-shoto,132241,一般会計,,小学校費|幼稚園費,,,eq,,assigned,09.1,retained,項,,多摩市 款10 の小学校・幼稚園。COFOG 09.1 就学前教育及び初等教育
86,tama-kyoiku-chuto,132241,一般会計,,中学校費,,,eq,,assigned,09.2,retained,項,,多摩市 款10 項3 中学校費。COFOG 09.2 中等教育
87,tama-nogyo,132241,一般会計,,農業費,,,eq,,assigned,04.2,retained,項,,多摩市 款6 項1 農業費。COFOG 04.2 農業・林業・漁業・狩猟。⚠️ 款の名称が「農林業費」で汎用規則（農林費）に当たらないため項で当てる
88,tama-saigai-bunkyo,132241,一般会計,,文教施設災害復旧費,,,eq,,assigned,09,retained,項,,多摩市 款11 の文教施設の災害復旧。COFOG は機能別なので復旧の対象施設の機能に置く
89,tama-saigai-doboku,132241,一般会計,,公共土木施設災害復旧費,,,eq,,assigned,04.5.1,retained,項,,多摩市 款11 の公共土木施設（道路橋りょう）の災害復旧。COFOG 04.5.1 道路交通
90,tama-saigai-kouen,132241,一般会計,,公園施設災害復旧費,,,eq,,assigned,08.1,retained,項,,多摩市 款11 の公園施設の災害復旧。COFOG 08.1 レクリエーション及びスポーツのサービス
91,tama-saigai-other,132241,一般会計,,その他公共、公用施設災害復旧費,,,eq,,unclassifiable,,retained,項,,多摩市 款11 のその他公共・公用施設の災害復旧。対象施設が特定できないので機能を決められない。捨てずに分類不能として残す
92,tama-shokitte,132241,一般会計,,小切手支払未済償還金,,,eq,,out-of-scope,,retained,項,,多摩市 款13 項2 小切手支払未済償還金。歳計現金の戻入であって支出の機能ではない。三鷹市の償還金及び還付加算金と同じ扱い
